SD,LSID,Easting,Northing,Fecha_de_Deployment,Picada,Demarcación_Pozos,Limpieza_terreno,Excavación,ID_M101,RA_M101,RD_M101,PA_M101,ID_M102,RA_M102,RD_M102,PA_M102,ID_M103,RA_M103,RD_M103,PA_M103,Radio_Mikrotik,IP,Cap_HS,Radio_Uptime,Front_End,Panel_Solar_(SD),Cableado_UMDs,eKit_M101,eKit_M102,eKit_M103,AMIGA_Box,TX,Distrib.,Mallado,Tubing_PS,Soporte_PS,PS_AMIGA,BBox,Bateria_1,Bateria_2,Regulador,Status,Tipo,To_Do,ID_M101_CU,RA_M101_CU,RD_M101_CU,PA_M101_CU,ID_M102_CU,RA_M102_CU,RD_M102_CU,PA_M102_CU,ID_M103_CU,RA_M103_CU,RD_M103_CU,PA_M103_CU,ID_M104_CU,RA_M104_CU,RD_M104_CU,PA_M104_CU,ID_M105_CU,RA_M105_CU,RD_M105_CU,PA_M105_CU,ID_M106_CU,RA_M106_CU,RD_M106_CU,PA_M106_CU,ID_M107_CU,RA_M107_CU,RD_M107_CU,PA_M107_CU,ID_M108_CU,RA_M108_CU,RD_M108_CU,PA_M108_CU,ID_M109_CU,RA_M109_CU,RD_M109_CU,PA_M109_CU,eKit_M101_CU,eKit_M102_CU,eKit_M103_CU,eKit_M104_CU,eKit_M105_CU,eKit_M106_CU,eKit_M107_CU,eKit_M108_CU,eKit_M109_CU,a_M101_CU,a_M102_CU,a_M103_CU,a_M104_CU,a_M105_CU,a_M106_CU,a_M107_CU,a_M108_CU,a_M109_CU,label_M101,label_M102,label_M103,label_M101_CU,label_M102_CU,label_M103_CU,label_M104_CU,label_M105_CU,label_M106_CU,label_M107_CU,label_M108_CU,label_M109_CU
CASA RONAL,1777,450627.76,6116516.36,24/2/21,OK,OK,OK,OK,M-077,0,"9,28",58,M-079,90,"7,7",19,M-078,90,"9,07",16,OK,10.0.42.x,OK,OK,UUB-A,170W,OK,SN0103,SN0091,SN0100,UUB-A,UUB-A,SN0017-V7,,OK,OK,M1031209028648,OK,80,81,18170204,In ACQ,Campo_Ibarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M101,M102,M103,,,,,,,,,
LUISA,702,449877.65,6116523.59,23/2/21,OK,OK,OK,OK,M-080,0,"9,23",57,M-082,90,"7,8",19,M-081,90,"9,2",16,OK,10.0.24.x,OK,OK,UUB-A,170W,OK,SN0096,SN0108,SN0119,UUB-A,UUB-A,SN0026-V7,,OK,OK,M1031209028624,OK,86,87,18170239,In ACQ,Campo_Ibarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M101,M102,M103,,,,,,,,,
RODRIGO,608,448372.44,6113923.74,,MAL,,,,,,,,,,,,,,,,,,,,UUB-A,50W,,,,,,,,,,,,,,,, ,Campo_Ibarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAUDEL,819,452876.88,6113927.85,24/11/22,OK,OK ,OK ,OK ,M-102,0,"9,23",306,M-104,90,"8,1",345,M-103,90,"9,55",347,OK,10.0.70.x,OK,OK,UUB-A,170W,OK,SN0105,SN0137,SN0141,,,SN0046-V7,,OK,OK,M1031209028549,OK,93,96,18170139,Deployed,Campo_Ibarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSTELACI,1771,453244.93,6114571.23,1/12/22,OK,OK ,OK,OK,M-105,0,"9,4",55,M-101,90,"7,9",17,M-106,91,"9,5",14,OK,10.0.78.x,OK,OK,UUB-A,170W,OK,SN0074,SN0121,SN0130,UUB-A,UUB-A,SN0030-V7,OK,OK,OK,M1031209028655,OK,99,92,18170139,In ACQ,Campo_Ibarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIORGIO MA,1766,452874.51,6115217.09,15/10/21,OK,OK,OK,OK,M-092,2,"9,31",60,M-093,91,"7,6",21,M-094,91,"9,1",18,OK,10.0.85.x,OK,OK,UUB-A,170W,OK,SN0138,SN0132,SN0151,UUB-A,UUB-A,SN0016-V7,,OK,OK,M1021303031422,OK,91,90,18170214,In ACQ,Campo_Ibarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M101,M102,M103,,,,,,,,,
E.T.,1770,452501.48,6115867.97,28/10/21,OK,OK,OK,OK,M-089,2,"9,21",58,M-090,92,"7,8",19,M-091,92,"9,35",16,OK,10.0.57.x,OK,OK,UUB-A,170W,OK,SN0135,SN0129,SN0133,UUB-A,UUB-A,SN0024-V7,,OK,OK,M1021303031446,OK,84,85,18170217,In ACQ,Campo_Ibarra,Revisar SN de PS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M101,M102,M103,,,,,,,,,
FRANQUITO,1776,452119.13,6116522.42,31/3/21,OK,OK,OK,OK,M-083,0,"9,41",58,M-085,90,"7,75",20,M-084,90,"9,15",17,OK,10.0.80.x,OK,OK,UUB-A,170W,OK,SN0080,SN0076,SN0099,UUB-A,UUB-A,SN0018-V7,,OK,OK,M1031209028600,OK,89,88,18170209,In ACQ,Campo_Ibarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M101,M102,M103,,,,,,,,,
F. CONTRER,1775,453624.65,6113923.5,15/12/22,OK,OK,OK,OK,M-112,0,"9,2",51,M-110,90,"8,2",12,M-111,90,"9,7",10,OK,10.0.47.x,OK,OK,UUB-A,170W,OK,SN0139,SN0140,SN0128,UUB-A,UUB-A,SN0019-V7,OK,OK,OK,M1031209028518,OK,104,100,18170368,In ACQ,Campo_Ibarra,Revisar SN de PS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIELS BOHR,1772,453997.11,6114574.13,,MAL,OK,,,,,,,,,,,,,,,OK,10.0.86.x,OK,OK,UUB-A,170W,,,,,,,,,,,,,,,, ,Campo_Ibarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABELARDO,707,453633.84,6115224.33,,OK,OK,,,,,,,,,,,,,,,OK,10.0.31.x,OK,OK,UUB-A,170W,,,,,,,,,,,,,,,, ,Campo_Ibarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VALENTIN C,1768,453248.43,6115872.86,,MAL,,,,,,,,,,,,,,,,OK,10.0.69.x,OK,OK,UUB-A,170W,,,,,,,,,,,,,,,, ,Campo_Ibarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSALIA,695,452875.97,6116518.56,,OK,,,,,,,,,,,,,,,,OK,10.0.56.x,OK,OK,UUB-A,170W,,,,,,,,,,,,,,,, ,Campo_Ibarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FECHE,736,454379.29,6113929.07,14/12/22,OK,OK,OK,OK,M-108,3,"9,9",55,M-109,90,"8,4",20,M-107,90,"9,9",17,OK,10.0.33.x,OK,OK,UUB-A,170W,OK,SN0067,SN0065,SN0047,UUB-A,UUB-A,SN0010-V7,OK,OK,OK,M1031209028556,OK,103,101,18170315,In ACQ,Campo_Ibarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIMENA JR.,1827,448844.99,6113220.04,,OK,,,,,,,,,,,,,,,,OK,10.0.75.x,OK,OK,UUB,170W,,,,,,,,,,,,,,,, ,Campo_Araya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALBEC JR.,1812,449496.32,6113268.8,,MAL,,,,,,,,,,,,,,,,OK,10.0.46.x,OK,OK,UUB,170W,,,,,,,,,,,,,,,, ,Campo_Araya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMY JR.,1811,450246.47,6113274.0,,MAL,,,,,,,,,,,,,,,,OK,10.0.66.x,OK,OK,UUB,170W,,,,,,,,,,,,,,,, ,Campo_Araya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISIDORITO JR.,1813,450995.61,6113281.54,,OK,,,,,,,,,,,,,,,,OK,10.0.50.x,OK,OK,UUB,170W,,,,,,,,,,,,,,,, ,Campo_Araya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSU JR.,1816,451751.61,6113256.66,,MAL,,,,,,,,,,,,,,,,OK,10.0.94.x,OK,OK,UUB,170W,,,,,,,,,,,,,,,, ,Campo_Araya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MICHIGAN J,1810,452496.46,6113273.93,,MAL,,,,,,,,,,,,,,,,OK,10.0.95.x,OK,OK,UUB,170W,,,,,,,,,,,,,,,, ,Campo_Araya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHUBUT JR,1814,453245.85,6113274.31,,MAL,,,,,,,,,,,,,,,,OK,10.0.91.x,OK,OK,UUB,170W,,,,,,,,,,,,,,,, ,Campo_Araya,Revisar SD (UB?),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA PLATA J,1815,453995.97,6113270.73,,MAL,,,,,,,,,,,,,,,,OK,10.0.51.x,OK,OK,UUB,170W,,,,,,,,,,,,,,,, ,Campo_Araya,Revisar N de serie panel solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROMELIA,639,449126.0,6112625.26,,OK,,,,,,,,,,,,,,,,OK,10.0.73.x,OK,OK,UUB,170W,,,,,,,,,,,,,,,, ,Campo_Araya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FANNI JR,1826,449872.38,6112620.94,,,,,,,,,,,,,,,,,,OK,10.0.52.x,OK,OK,UUB,170W,,,,,,,,,,,,,,,, ,Campo_Araya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA SALINIL,651,450627.45,6112626.77,,OK,,,,,,,,,,,,,,,,OK,10.0.68.x,OK,OK,UUB,170W,,,,,,,,,,,,,,,, ,Campo_Araya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATAGONIA,1825,451364.24,6112629.24,,,,,,,,,,,,,,,,,,OK,10.0.89.x,OK,OK,UUB,170W,,,,,,,,,,,,,,,, ,Campo_Araya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BORBARAN,643,452126.69,6112627.75,,OK,,,,,,,,,,,,,,,,OK,10.0.26.x,OK,OK,UUB,170W,,,,,,,,,,,,,,,, ,Campo_Araya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REDONDO JR,1823,452875.02,6112628.86,,,,,,,,,,,,,,,,,,OK,10.0.53.x,OK,OK,UUB,170W,,,,,,,,,,,,,,,, ,Campo_Araya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILDA,635,453626.52,6112628.41,,OK,,,,,,,,,,,,,,,,OK,10.0.97.x,OK,OK,UUB,170W,,,,,,,,,,,,,,,, ,Campo_Araya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRIAS JR,1841,449498.84,6111975.35,,,,,,,,,,,,,,,,,,OK,10.0.58.x,OK,OK,UUB,170W,,,,,,,,,,,,,,,, ,Campo_Araya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUSO JR,1844,450252.44,6111962.67,,,,,,,,,,,,,,,,,,OK,10.0.67.x,OK,OK,UUB,170W,,,,,,,,,,,,,,,, ,Campo_Araya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZECH REPU,1839,451007.64,6111975.54,,,,,,,,,,,,,,,,,,OK,10.0.65.x,OK,OK,UUB,170W,,,,,,,,,,,,,,,, ,Campo_Araya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOUISIANA,1845,451751.58,6111970.53,,,,,,,,,,,,,,,,,,OK,10.0.83.x,OK,OK,UUB,170W,,,,,,,,,,,,,,,, ,Campo_Araya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITALY JR,1840,452501.0,6111972.41,,MAL,,,,,,,,,,,,,,,,OK,10.0.62.x,OK,OK,UUB,170W,,,,,,,,,,,,,,,, ,Campo_Araya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCLA JR,1838,453259.19,6111976.08,,,,,,,,,,,,,,,,,,OK,10.0.49.x,OK,OK,UUB,170W,,,,,,,,,,,,,,,, ,Campo_Araya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL MATACO,659,449877.06,6111329.86,,OK,,,,,,,,,,,,,,,,OK,10.0.41.x,OK,OK,UUB,170W,,,,,,,,,,,,,,,, ,Campo_Araya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA CRUZ,1842,450627.78,6111315.38,,,,,,,,,,,,,,,,,,OK,10.0.37.x,OK,OK,UUB,170W,,,,,,,,,,,,,,,, ,Campo_Araya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL CENIZO,660,451374.12,6111330.11,,OK,,,,,,,,,,,,,,,,OK,10.0.98.x,OK,OK,UUB,170W,,,,,,,,,,,,,,,, ,Campo_Araya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUQUEN JR,1843,452123.72,6111322.0,,,,,,,,,,,,,,,,,,OK,10.0.63.x,OK,OK,UUB,50W,,,,,,,,,,,,,,,, ,Campo_Araya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TROMEN,663,452865.41,6111307.03,,OK,,,,,,,,,,,,,,,,OK,10.0.54.x,OK,OK,UUB,170W,,,,,,,,,,,,,,,, ,Campo_Araya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAIS JR,22,451009.00,6114588.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCE,72,450613.75,6115225.53,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROMERI,80,452120.10,6115232.60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAIRON JR,24,450234.2,6114577.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALPATACO,79,452866.50,6113927.77,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA FE,89,451365.00,6113928.49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIERRA DEL FUEGO,94,449873.65,6113933.87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OK,10.0.8.x,OLD,REBOOT,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OYE,710,449882.48,6113933.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OK,10.0.72.x,OK,OK,UUB-A,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUAPA GUERRERA,15,449892.48,6113933.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN JUAN,91,452115.97,6112628.45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORDOBA,90,450616.32,6112628.41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAYA-CO,607,447620.64,6115225.97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,Heat_Let,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARC KADUCAK,1788,448372.27,6115235.12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,Heat_Let,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TANGUITO JR.,1833,447249.53,6114573.79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,Heat_Let,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VALENTIN JR.,1830,447950.58,6114570.32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,Heat_Let,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NANCY,615,446874.90,6113925.55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,Heat_Let,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DYSNEYLAND JR.,1832,447630.10,6113922.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,Heat_Let,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEON JR.,1831,447257.06,6113278.53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,Heat_Let,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUTE CABRERO JR.,1829,448004.34,6113276.66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,Heat_Let,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORACIO,609,447623.77,6112627.77,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,Heat_Let,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KATHERINE,1790,448372.98,6112630.42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,Heat_Let,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,